time,Lx,V,pressure,U,T,work_cum,dS_IG,delta_a,alpha,alpha_over_T,PV_gamma,T_V_gamma_minus1,impulse_events
25.7,18.74,7496,0.363252869269,4764.99995618,0.348013435304,251.034735002,0.512707857441,1.63140563682,0.241329639211,0.693585498739,1042937.65988,133.295573981,23
25.9,18.73,7492,0.360104660713,4767.08346081,0.348165604792,252.475153645,1.11337812132,1.82797389873,0.255530731187,0.734094870631,1032979.46994,133.306413479,22
26.1,18.72,7488,0.374633011973,4768.89119409,0.348297633223,253.973685693,0.316414366173,1.6087175349,0.199015750931,0.5715039648,1073698.72364,133.30949415,22
26.3,18.71,7484,0.487813098065,4770.52754799,0.348417144901,255.924938085,-0.180028874223,1.88853800368,-0.252184108537,-0.723923523528,1396828.50339,133.307741346,25
26.5,18.7,7480,0.343715327081,4772.2343963,0.348541805164,257.299799393,0.0180094051579,1.38113721638,0.325711100022,0.934663655561,983335.146146,133.307916688,21
26.7,18.69,7476,0.47091304883,4774.31716267,0.348693920733,259.183451588,1.09176460977,2.26426084042,-0.181494470208,-0.520611504739,1346034.56581,133.31854674,26
26.9,18.68,7472,0.314983669998,4775.46380047,0.348777665824,260.443386268,-1.59721788641,0.702927633339,0.443710161711,1.27233903219,899531.019523,133.30299559,23
27.1,18.67,7468,0.349266601699,4777.53047856,0.34892860638,261.840452675,1.03638874865,1.75861387198,0.308064218222,0.883077107072,996546.513501,133.313086077,21
27.3,18.66,7464,0.541537074375,4779.71010877,0.349087796434,264.006600973,1.35477536959,2.63897601255,-0.459345796502,-1.31614613826,1543764.01119,133.326277592,31
27.5,18.65,7460,0.507667425435,4781.68624015,0.349232123879,266.037270674,0.766615301653,2.29834106992,-0.322209696311,-0.922813990947,1445919.15181,133.333742742,34
27.7,18.64,7456,0.426664602059,4783.43200445,0.349359626384,267.743929083,0.102270252853,1.74238098571,0.00338331259308,0.00968609375019,1214124.19087,133.334738661,26
27.9,18.63,7452,0.726870104797,4786.25799731,0.349566023759,270.651409502,3.18836712724,4.02169620284,-1.19570333804,-3.42154659167,2066545.08384,133.365791071,40
