time,T,V,W,Q,p_mech,p_IG,sigma,dS_IG_win
29.6,0.618364824,7771.2,34.0654851,832.908773,0.190133016,0.162962111,0.0900840514,10.5969015
29.8,0.618563024,7769.6,34.3837272,833.209376,0.19890126,0.163047914,0.0929408587,0.562785628
30,0.619419813,7768,34.5315589,835.878946,0.0923948292,0.163307386,-0.180186616,3.83037852
30.2,0.621654435,7766.4,34.7601031,842.491665,0.142840133,0.1639303,-0.0343429548,10.6407422
30.4,0.623611099,7764.8,35.0059991,848.466231,0.153685026,0.164480158,-0.0125003605,9.23200698
30.6,0.623491302,7763.2,35.2881059,847.687236,0.176316695,0.164482454,0.0304691542,-1.01224547
30.8,0.624831068,7761.6,35.4105303,851.399007,0.0765153094,0.164869876,-0.219133288,6.17193134
31,0.627241878,7760,35.7812811,858.240446,0.231719191,0.165540125,0.191605377,11.4077861
31.2,0.628638974,7758.4,36.0607375,862.351255,0.1746603,0.165943058,0.0298282584,6.41254167
31.4,0.628830262,7756.8,36.3865789,862.816329,0.203650825,0.166027792,0.0959140264,0.512234978
31.6,0.628674481,7755.2,36.6749149,862.463864,0.180210029,0.166020907,0.0362497218,-1.18360932
31.8,0.629342743,7753.6,36.9479959,864.779997,0.170675624,0.166231678,0.0130746729,2.84113484
32,0.630866582,7752,37.0803959,868.669131,0.0827499865,0.166668571,-0.203813953,7.00663667
32.2,0.630705393,7750.4,37.3695886,867.766499,0.180745427,0.166660385,0.0358754713,-1.20775336
32.4,0.632096895,7748.8,37.4765242,871.735882,0.0668347896,0.16706257,-0.246203982,6.34733764
32.6,0.634501412,7747.2,37.8592018,878.538705,0.239173457,0.167732715,0.202307971,11.2408951
32.8,0.635671144,7745.6,38.2332516,881.790907,0.233781166,0.16807665,0.170631116,5.23514807
33,0.637615706,7744,38.4464475,887.411437,0.133247407,0.168625641,-0.0744172972,8.96001928
33.2,0.637948871,7742.4,38.5553616,887.634492,0.0680713006,0.168748616,-0.252039736,1.18156626
33.4,0.642082141,7740.8,38.9407098,899.938612,0.240842658,0.169877044,0.240806823,19.4160131
33.6,0.647953712,7739.2,39.1711895,917.485918,0.144049785,0.17146594,0.059240009,27.5411216
33.8,0.65250566,7737.6,39.8520303,930.978163,0.425525539,0.172706213,0.695079021,21.0822476
34,0.652253035,7736,40.1560022,930.031345,0.189982418,0.172675054,0.0427297349,-1.61312286
34.2,0.655001061,7734.4,40.26068,938.103756,0.065423658,0.173438427,-0.236696382,12.4919181
34.4,0.656512471,7732.8,40.5894982,942.591835,0.205511346,0.173874604,0.0852997606,6.65674529
34.6,0.658844521,7731.2,41.1056507,949.302968,0.322595315,0.17452835,0.378913366,10.4691579
34.8,0.662204815,7729.6,41.3600744,959.195808,0.15901484,0.175454805,7.76049878e-06,15.2043688
35,0.66495714,7728,41.4997909,967.25566,0.0873227935,0.176220526,-0.187471352,12.3177319
35.2,0.667399416,7726.4,41.7722914,974.663988,0.170312817,0.17690438,0.00486065147,10.8382119
35.4,0.672200316,7724.8,42.0675766,989.168105,0.184553226,0.178213837,0.0938582867,21.5950069
35.6,0.677315637,7723.2,42.4626362,1004.50241,0.246912277,0.179607213,0.247090293,22.8646209
35.8,0.679812739,7721.6,42.733324,1011.97896,0.169179841,0.180306736,-0.00536873461,10.8805843
36,0.681282782,7720,43.0048576,1016.10507,0.169708544,0.180734085,-0.0186878287,6.21138171
36.2,0.681236129,7718.4,43.5698208,1015.15157,0.353101993,0.180759172,0.404827903,-0.63487075
36.4,0.680888531,7716.8,43.759811,1013.80141,0.118743865,0.1807044,-0.145155056,-1.99246546
36.6,0.682386087,7715.2,43.9053735,1018.2409,0.0909765388,0.181139401,-0.203953512,6.32450778
36.8,0.683889641,7713.6,44.4875834,1022.25939,0.363881181,0.181576175,0.433992551,6.33656328
37,0.685903133,7712,44.6898579,1028.38641,0.126421569,0.18214855,-0.116687529,8.60636944
37.2,0.688787712,7710.4,45.2976431,1036.66334,0.379865749,0.182952536,0.48447278,12.4673268
37.4,0.688598597,7708.8,45.5991902,1035.74221,0.188466922,0.182940267,0.0130014548,-1.26860049
