time,T,V,W_core,Q_hist,p_mech,p_IG,sigma
150.5,0.996599789,7930,18.8887273,49.0487593,0.216563004,0.257381635,-0.0117876797
151,0.988520441,7929.6,19.002815,24.6769753,0.285219445,0.255307943,0.114156418
151.5,0.995638866,7929.2,19.1286229,46.4234841,0.314519621,0.257159411,0.101938945
152,0.992154313,7928.8,19.1929378,35.1957145,0.1607872,0.256272328,-0.0195913076
152.5,0.998944742,7928.4,19.2952112,55.6768671,0.255683548,0.258039306,0.0703571464
153,1.00539474,7928,19.3867512,75.419723,0.228850093,0.259718519,0.051210589
153.5,1.00825759,7927.6,19.5513736,84.1812881,0.411555929,0.260471208,0.072348639
154,1.00507929,7927.2,19.6262593,75.2690475,0.187214362,0.259663234,-0.013503176
154.5,1.00206069,7926.8,19.7607325,65.3410728,0.336182777,0.258896438,0.0447641394
155,1.00105224,7926.4,19.9167497,62.7821854,0.390043108,0.258648944,0.054062746
155.5,1.00129985,7926,20.0374466,64.3243303,0.301742129,0.258725976,0.0172806715
156,0.996568808,7925.6,20.1583852,50.8849257,0.302346571,0.257516519,0.0525042014
156.5,0.999556857,7925.2,20.3283216,60.581442,0.424841148,0.258301676,0.0804015895
157,0.996399779,7924.8,20.4460838,50.9668505,0.294405343,0.257498832,0.0302064276
157.5,0.997884503,7924.4,20.5373921,55.6105127,0.228270739,0.257895546,-0.00846871972
158,1.00359435,7924,20.6700549,74.27463,0.331656961,0.259384305,0.078716686
158.5,1.0027587,7923.6,20.7891612,72.3974379,0.297765789,0.25918141,0.0164600177
159,1.00234619,7923.2,20.9000771,71.897423,0.277289698,0.259087867,0.00752638523
159.5,0.993964998,7922.8,20.9703772,45.0551845,0.175750366,0.256934457,0.0759312269
160,0.996034915,7922.4,21.0301864,49.5281181,0.149522905,0.257482519,-0.0367103589
160.5,0.997157115,7922,21.1012098,51.7665127,0.177558606,0.257785631,-0.030232847
161,1.00029657,7921.6,21.2125633,61.3674193,0.278383769,0.258610304,0.0230715413
161.5,0.999490846,7921.2,21.3250639,58.9216371,0.281251509,0.258415045,0.0101394989
162,0.996285267,7920.8,21.4448849,48.3473802,0.299552585,0.257599261,0.0327139413
162.5,0.996312876,7920.4,21.5170558,48.8562485,0.180427134,0.257619409,-0.0309873872
163,1.00211272,7920,21.6124609,67.4614639,0.238512628,0.259132177,0.0434221217
163.5,1.00467122,7919.6,21.7394836,74.245496,0.317556894,0.259806892,0.0329734602
164,0.998543331,7919.2,21.8341658,56.5442472,0.236705554,0.258235269,0.0489894111
164.5,0.996904231,7918.8,21.9228817,52.0608073,0.221789757,0.257824401,-0.0103081901
